# Hid              Name                RA(HHMMSS)    R.A.(deg)            eR(SS)   Dec(DDMMSS)   Dec.(deg)       eD(SS)   Vel_HI   eV   W50   eW50   W20   eW20   PkFlux   ePkF   TotFlux   eTotF   MHI                  eMHI                   SNpeak   SNtot   rms   flag   specObjID             plateID               fiberID   mjd     ra          dec         z             zErr          Vel_SDSS   NOC_Spz   2nd_OC_specObjID      A_W20     A_W20_err   W20_center   aa_snr               V_NED   V_NED_e   RA_NED   RA_NED_e   DEC_NED   DEC_NED_e   potOC                        A_W50     A_W50_err  
  J114805+214939   A1367_fr2_100_VB    11:48:04.98   177.0207361111111    0.7      21:49:39.30   21.8275833333   15       8073     7    77    14     141   21     7.5      1.0    0.551     0.106   9.049159554259615    0.12092052159977426    8.4      4.2     0.9   0      2829471472643237888   2829386535369992192   309       54141   177.0227    21.829263   0.02675847    5.326555E-6   8021       1         -1                    1.24408   0.1221      8073.0       15.600866804562871   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.32453   0.12975    
  J114228+181949   A1367_fr4_001_VB    11:42:28.74   175.6197361111111    0.7      18:19:49.92   18.3305333333   10       930      2    222   3      241   5      63.4     3.3    13.139    0.605   8.73                 0.05852674005317645    63.4     40.7    1.0   4      2823867807169538048   2823757031373039616   403       53875   175.62279   18.332541   0.003086055   9.388491E-6   925        1         -1                    1.01722   0.02256     930.0        197.18361646851798   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.0035    0.02253    
  J113447+213836   A1367_fr3_080_VB    11:34:47.21   173.6966944441111    0.7      21:38:36.73   21.6435361111   10       3678     2    82    4      102   7      15.1     1.1    1.142     0.121   8.86                 0.08313229016647183    18.9     9.6     0.8   0      2814757533783189504   2814749837201795072   28        54178   173.70055   21.644319   0.01223685    1.762E-5      3668       1         -1                    1.17738   0.04655     3678.0       35.24959998043223    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.03804   0.04082    
  J114654+202022   A1367_fr2_208_VB    11:46:54.53   176.7271944441111    1.0      20:20:22.27   20.3395194444   15       6563     4    87    9      93    13     2.6      0.7    0.102     0.056   8.316608127169749    0.27547959250184617    3.8      1.5     0.7   0      2825023948763195392   2824882936396933120   513       54180   176.72404   20.331588   0.02186414    1.039189E-5   6554       1         -1                    2.2891    0.70042     6563.0       3.4932326251077983   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         2.8728    0.95971    
  J113434+184059   A1367_fr3_061_VB    11:34:34.32   173.6429861111111    0.7      18:40:59.37   18.6831583333   10       3579     2    203   4      214   6      10.3     1.0    1.568     0.148   8.97                 0.0781253937427302     12.9     6.6     0.8   0      2817028025328101376   2817001637049034752   96        54180   173.64386   18.682376   0.01189684    2.069334E-5   3566       1         -1                    1.07353   0.0414      3579.0       30.76047620814288    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.07308   0.04092    
  J114914+192147   A1367_fr2_114_VB    11:49:14.47   177.3102777781111    0.7      19:21:47.45   19.3631805556   11       6097     8    79    16     131   24     4.5      0.7    0.263     0.071   8.727963703897588    0.15497847521759928    6.5      2.6     0.7   0      2831722173599606784   2831638335837988864   305       54180   177.31123   19.361589   0.02028614    1.369256E-5   6081       1         -1                    1.42286   0.10053     6097.0       9.452118659085933    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.53903   0.09533    
  J115109+201836   A1367_fr2_131_VB    11:51:09.13   177.78802777811111   0.8      20:18:36.31   20.3100861111   11       6121     8    131   17     172   25     3.7      0.7    0.322     0.086   8.815863827103662    0.15372355497067555    5.2      2.5     0.7   0      2825056109478307840   2824882936396933120   630       54180   177.78827   20.308038   0.02042628    9.912802E-6   6123       1         -1                    1.14028   0.12829     6121.0       8.986843649392481    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.32462   0.11407    
  J115019+204441   A1367_fr2_163_VB    11:50:19.05   177.5793611111111    0.8      20:44:41.30   20.7448055556   11       6723     12   81    24     198   36     4.5      0.7    0.304     0.076   8.790881539016585    0.14672536468251723    6.4      2.2     0.7   0      2825041266071332864   2824882936396933120   576       54180   177.57737   20.745695   0.02238123    7.086377E-6   6709       1         -1                    1.70883   0.10939     6723.0       10.789915319998984   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.06317   0.13775    
  J114901+212718   A1367_fr2_038_VB    11:49:01.19   177.2549444441111    0.7      21:27:18.77   21.4552138889   10       7973     3    145   5      171   8      11.2     0.9    1.07      0.111   9.33739173309304     0.08202508852727435    16.0     7.2     0.7   0      2829464875573471232   2829386535369992192   285       54141   177.25947   21.449338   0.02655872    2.186779E-5   7962       1         -1                    1.34183   0.04082     7973.0       28.38485883563507    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.37949   0.04045    
  J115149+210929   A1367_fr2_085_VB    11:51:49.62   177.9567361111111    0.9      21:09:29.04   21.1580666667   11       7023     5    152   9      163   14     3.3      0.7    0.24      0.077   8.688219197119437    0.1765356925333863     4.7      1.7     0.7   0      2827145176571471872   2827134731211008000   38        53882   177.95635   21.154115   0.02333709    9.730347E-6   6996       1         -1                    1.00766   0.17573     7023.0       6.218367858085815    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.05098   0.16927    
